mti,processingCode,transactionAmount,dateTimeTransaction,cardholderBillingConversionRate,stan,timeLocalTransaction,dateLocalTransaction,expiryDate,conversionDate,merchantCategoryCode,posEntryMode,acquiringInstitutionCode,forwardingInstitutionCode,rrn,cardAcceptorTerminalId,cardAcceptorId,cardAcceptorNameLocation,cardBalance,additionalData48,transactionCurrencyCode,cardholderBillingCurrencyCode,posDataCode,originalDataElement,channel,encryptedPan,network,dcc,kitNo,factorOfAuthorization,authenticationScore,contactless,international,preValidated,enhancedLimitWhiteListing,transactionOrigin,transactionType,isExternalAuth,encryptedHexCardNo,isTokenized,entityId,moneySendTxn,mcRefundTxn,mpqrtxn,authorisationStatus,latitude,longitude
0100,000000,215958.66,2024-04-05 22:21:59,61000000,11487,05:12:17,1998-01-26,12/29,1993-10-30,138,810,448250,83933,9614585565,9117900,86785976,Whitney-Barnett,266841.28,T,840,840,6.88753048774074E+017,7.3886736319821E+023,ECOM,7f1a296a4c4e5892564ecf892a29591b415b87e10045de0050069b202ef9fe71,MASTER,FALSE,4131047897,4,98,FALSE,TRUE,FALSE,FALSE,ECOM,ECOM,FALSE,f0bb2461ceae39a9dfd925917fcb67b1f0c4043c95627ae1b4b5d8eedca06070,FALSE,5bee9e60-787a-4fe7-bc54-e3a7f21978d2,FALSE,FALSE,FALSE,TRUE,-67.013203,-15.533937
0100,000000,19855.48,2024-04-05 23:13:18,61000000,98845,14:19:57,2008-07-29,12/24,2004-11-27,9174,810,69480,969348,3880278867,9026573,86040072,Jones LLC,337982.77,T,840,840,9.18534909779941E+017,4.11723430243488E+023,ECOM,922a4dbc4e14bfab6f5b76f6fee56ae4fce951c1e302944b175681a9cfcfdd80,MASTER,FALSE,2439268023,5,37,FALSE,TRUE,FALSE,FALSE,ECOM,ECOM,FALSE,39cc1dbc3ec65291779cdda20ddb3cad95c5d88570fb7f610c7ceafaa08f4783,FALSE,0d7b78d7-6872-49f0-9e54-72775cb795b3,FALSE,FALSE,FALSE,TRUE,18.0973605,-160.884232
0100,000000,258777.31,2024-04-06 02:13:35,61000000,85278,17:17:27,1991-10-13,09/26,1999-03-11,425,810,693569,86008,3343871965,5622302,46349304,"Patterson, Ritter and Edwards",221705.27,T,840,840,6.93217743811218E+017,1.69470821397791E+023,ECOM,f6b72116313e644dcbd2b43398e9b530bc343e82edee2ff891dc0c62f0d40a89,MASTER,FALSE,9978255749,1,15,FALSE,TRUE,FALSE,FALSE,ECOM,ECOM,FALSE,068bfc2cea4c7713c3757ab2165228e12e6b2f673f8a7a3caca23f054e40afe8,FALSE,87151874-d17e-4287-afed-70611149e248,FALSE,FALSE,FALSE,TRUE,15.3688415,122.368025
0100,000000,235269.67,2024-04-06 00:36:47,61000000,64699,21:31:44,1994-03-04,05/28,2009-11-18,4917,810,394095,545174,3561857946,6511513,60063859,Patel-Duncan,227759.62,T,840,840,2.14558745797834E+017,8.28254419712638E+023,ECOM,a3f3b509c4967ee71df5dca94ed09341ed20cd064e32e9eb5c6c331f4869d67c,MASTER,FALSE,9523209971,3,96,FALSE,TRUE,FALSE,FALSE,ECOM,ECOM,FALSE,f6aa81c3c96fd2b871b866e45937c72494d7bac74f5bda605791bfd9b2f9bf70,FALSE,4610f7ca-c692-43e9-bddd-7dee35c8c6f1,FALSE,FALSE,FALSE,TRUE,44.1596445,-160.565034
0100,000000,151131.02,2024-04-05 22:00:55,61000000,24625,07:05:43,1982-12-14,08/33,1986-11-18,6229,810,264018,212363,2444217748,3309614,65205609,Garcia-Ruiz,168275.70,T,840,840,9.13665639276649E+017,2.75165755199942E+023,ECOM,3442609fd0964668c12135d9ddcfb21d1d036aa34c1f216cd8e0881c0fa69acf,MASTER,FALSE,1270452242,4,53,FALSE,TRUE,FALSE,FALSE,ECOM,ECOM,FALSE,66d0c1fee6cac683a7b5ec843c851411002a185643c387f3a7d20b7a0f6970d2,FALSE,7be4b2c7-f9d7-498f-bc5c-601bbbadb037,FALSE,FALSE,FALSE,TRUE,-12.2794595,-164.362966
0100,000000,119133.33,2024-04-06 06:46:49,61000000,19411,10:28:07,2017-07-05,06/29,1988-09-08,8720,810,700432,908110,7205124079,1828432,7596781,Mason and Sons,184305.98,T,840,840,5.23090783126775E+017,7.43674410839646E+023,ECOM,d47c241cfbccc28e8f1fc9d01bb30e5bf6733d4650a527926af35e0f054a408a,MASTER,FALSE,663868002,2,51,FALSE,TRUE,FALSE,FALSE,ECOM,ECOM,FALSE,ca1649d7b8bb83a5c45dac950e0ea6020cc003ecc4b87a2c93b4845a5f3008f6,FALSE,4a199778-cb92-406b-a3d9-c86ad9070a72,FALSE,FALSE,FALSE,TRUE,-51.636642,-16.660294
0100,000000,195392.57,2024-04-06 07:13:28,61000000,40228,04:15:39,1982-12-06,04/33,2013-10-06,7023,810,232402,571204,2971054949,6869853,96249964,"Anderson, Huffman and Collins",138169.89,T,840,840,1.90387256406771E+017,8.26447720191879E+023,ECOM,7f7bae407e0e44b2810117b03c9d1b06d2d2238006ee0d227d8a272fee8320b2,MASTER,FALSE,489364888,5,23,FALSE,TRUE,FALSE,FALSE,ECOM,ECOM,FALSE,3846b5fd9cd2eb355ab3c5706cb59e69eda31fb9e05e12cec7d154b9fe2abd45,FALSE,5e944323-77c3-43a2-8e24-ce51a9e40c44,FALSE,FALSE,FALSE,TRUE,-16.8002595,83.510407
0100,000000,15223.36,2024-04-06 03:33:23,61000000,76549,11:20:38,1992-08-21,02/32,1991-09-16,7870,810,488208,771717,5112709546,648508,39940673,Williams-Wallace,423460.57,T,840,840,8.72859576398341E+017,4.068902723967E+023,ECOM,fca489f00e108a11f0ab78a3f866fabaeaf5b71a59d36b0c16f69552006b32b7,MASTER,FALSE,8438250743,1,26,FALSE,TRUE,FALSE,FALSE,ECOM,ECOM,FALSE,aec7506134cab7fc9b992f86c5310c0f28a79a2e7b1901d01d557afdbecf9cda,FALSE,6938fa6a-7ee2-4ee5-b834-cdbb140d50d7,FALSE,FALSE,FALSE,TRUE,2.6413265,-151.404226
0100,000000,95759.42,2024-04-05 20:03:59,61000000,92427,20:44:22,1988-03-01,12/31,1995-09-21,5002,810,600042,773054,4863054031,2425127,48360672,Moreno-Ball,352909.26,T,840,840,8.23913326058863E+017,7.43172597217418E+023,ECOM,526503291472f067ecf0fb9811fe6013c08a1963079c5c591133bd1b67d3a1bd,MASTER,FALSE,9584402295,1,52,FALSE,TRUE,FALSE,FALSE,ECOM,ECOM,FALSE,7de5297bcbb0dce2e5eb0f9d34ebe9677d81db0855ee7a795a1cd61c275946fe,FALSE,74106d06-b708-4686-a7ed-55e3a6e0c29e,FALSE,FALSE,FALSE,TRUE,56.6873415,92.961450
0100,000000,76284.91,2024-04-05 20:27:33,61000000,35514,19:43:12,1972-03-29,10/31,1998-10-06,3950,810,542127,787189,1172724739,4711169,39686882,"Harris, Carter and Williams",245653.10,T,840,840,2.97619174984061E+017,7.89442241589854E+023,ECOM,f6bdf7e836ac90ff08ef426e38d6c44f9c811b00789444235200c762ed39e387,MASTER,FALSE,2027199424,4,30,FALSE,TRUE,FALSE,FALSE,ECOM,ECOM,FALSE,4ec67d12ea1e34420d588ca1647c71cad3a4f8a040e1cab4c220a1cd2c363425,FALSE,50032e4d-43a6-4f81-87fc-f82d979740ce,FALSE,FALSE,FALSE,TRUE,51.2168595,108.976793
